CustomerID,Recency,Frequency,Monetary,AOV,Predicted_LTV,Segment
12346.0,326,1,77183.6,77183.6,73929.43169999986,High
12347.0,2,7,4310.0,615.7142857142857,4284.6951,High
12348.0,75,4,1797.24,449.31,1796.3050999999991,High
12349.0,19,1,1757.55,1757.55,1751.5784999999994,High
12350.0,310,1,334.4,334.4,334.5216000000004,Mid-Low
12352.0,36,8,2506.04,313.255,2496.017400000002,High
12353.0,204,1,89.0,89.0,89.04260000000001,Low
12354.0,232,1,1079.4,1079.4,1079.385899999999,Mid-High
12355.0,214,1,459.4,459.4,459.63970000000006,Mid-Low
12356.0,23,3,2811.43,937.1433333333333,2819.1474999999987,High
12357.0,33,1,6207.67,6207.67,25769.469499999977,High
12358.0,2,2,1168.06,584.03,1165.8547999999996,Mid-High
12359.0,58,4,6310.03,1577.5075,6095.063500000006,High
12360.0,52,3,2662.06,887.3533333333334,2661.0716999999986,High
12361.0,287,1,189.9,189.9,189.62380000000002,Low
12362.0,3,10,5226.23,522.6229999999999,5176.350299999994,High
12363.0,110,2,552.0,276.0,551.8370000000001,Mid-Low
12364.0,8,4,1313.1,328.275,1310.6550000000016,Mid-High
12365.0,291,2,641.38,320.69,641.3092999999991,Mid-Low
12367.0,4,1,168.9,168.9,168.86539999999982,Low
12370.0,51,4,3541.94,885.485,3527.1138,High
12371.0,45,2,1887.96,943.98,1890.4711000000007,High
12372.0,72,3,1298.04,432.68,1297.7982999999972,Mid-High
12373.0,311,1,364.6,364.6,364.65119999999996,Mid-Low
12374.0,25,1,742.9300000000001,742.9300000000001,742.6709999999996,Mid-High
12375.0,11,2,457.5,228.75,457.8658000000001,Mid-Low
12377.0,315,2,1628.12,814.06,1625.3667999999984,Mid-High
12378.0,130,1,4008.62,4008.62,4648.104099999996,High
12379.0,82,2,852.24,426.12,852.7300000000005,Mid-High
12380.0,22,4,2724.81,681.2025,2714.9015999999974,High
12381.0,5,5,1845.31,369.062,1849.696799999999,High
12383.0,185,5,1850.56,370.11199999999997,1851.015299999999,High
12384.0,29,2,585.27,292.635,584.4625,Mid-Low
12386.0,338,2,401.9,200.95,401.6523,Mid-Low
12388.0,16,6,2780.66,463.4433333333333,2776.943300000001,High
12390.0,80,1,549.84,549.84,549.4364999999993,Mid-Low
12391.0,22,1,439.66,439.66,439.7428000000005,Mid-Low
12393.0,72,4,1582.6000000000001,395.65000000000003,1585.5968000000014,Mid-High
12394.0,64,2,1272.48,636.24,1271.5849999999998,Mid-High
12395.0,19,12,3018.63,251.5525,3074.7303000000015,High
12397.0,36,2,2409.9,1204.95,2345.435599999997,High
12398.0,46,1,1635.6599999999999,1635.6599999999999,1621.007700000002,Mid-High
12399.0,119,4,1108.65,277.1625,1107.8738999999987,Mid-High
12401.0,303,1,84.3,84.3,84.91489999999997,Low
12402.0,323,1,225.6,225.6,225.57650000000012,Low
12403.0,50,1,427.7,427.7,427.80550000000045,Mid-Low
12405.0,149,1,1710.39,1710.39,1710.677800000003,High
12406.0,22,2,3415.3,1707.65,3352.151999999994,High
12407.0,50,5,1708.1200000000001,341.624,1709.1207999999992,High
12408.0,33,5,2888.55,577.71,2885.263799999999,High
12409.0,79,3,11072.67,3690.89,10385.087500000009,High
12410.0,309,2,693.3299999999999,346.66499999999996,694.0781999999998,Mid-High
12412.0,75,3,1226.88,408.96000000000004,1219.0327999999997,Mid-High
12413.0,67,3,758.1,252.70000000000002,757.0283999999996,Mid-High
12414.0,217,3,562.41,187.47,563.5768000000012,Mid-Low
12415.0,24,21,124914.53,5948.310952380953,95421.7242,High
12417.0,3,9,3649.1,405.4555555555555,3688.1173000000003,High
12418.0,113,1,668.58,668.58,670.705500000001,Mid-High
12420.0,64,1,600.39,600.39,600.8630999999997,Mid-Low
12421.0,16,4,807.04,201.76,808.3212999999996,Mid-High
12422.0,96,3,803.5600000000001,267.85333333333335,804.2020999999997,Mid-High
12423.0,1,8,1859.31,232.41375,1922.2345000000007,High
12424.0,163,2,1760.96,880.48,1744.0576999999996,High
12425.0,78,1,777.2,777.2,776.968699999999,Mid-High
12426.0,195,1,582.73,582.73,582.4884000000008,Mid-Low
12427.0,22,3,825.8,275.26666666666665,825.5020000000014,Mid-High
12428.0,26,9,7956.46,884.0511111111111,7702.464600000002,High
12429.0,9,4,3750.4,937.6,3758.560600000004,High
12430.0,43,1,256.4,256.4,256.37870000000026,Low
12431.0,36,15,6419.95,427.99666666666667,6636.542299999998,High
12432.0,43,5,5059.32,1011.8639999999999,5013.526400000006,High
12433.0,1,7,13375.87,1910.8385714285716,12934.73810000001,High
12434.0,85,2,806.14,403.07,805.1889999999995,Mid-High
12435.0,80,2,7829.89,3914.945,6703.536800000002,High
12436.0,100,1,509.01,509.01,508.83140000000026,Mid-Low
12437.0,2,18,4951.41,275.0783333333333,4985.334799999994,High
12438.0,14,2,2906.85,1453.425,2877.1381,High
12441.0,367,1,173.55,173.55,173.59399999999988,Low
12442.0,3,1,172.06,172.06,172.07899999999995,Low
12444.0,21,5,5005.46,1001.092,4964.880500000007,High
12445.0,22,1,133.4,133.4,133.45499999999998,Low
12446.0,58,1,1002.3100000000001,1002.3100000000001,1007.1590999999986,Mid-High
12447.0,243,1,476.49,476.49,476.3507999999998,Mid-Low
12448.0,44,1,449.45,449.45,449.4246,Mid-Low
12449.0,22,4,4067.29,1016.8225,4163.465399999997,High
12450.0,156,2,197.88,98.94,197.45029999999986,Low
12451.0,11,5,9035.52,1807.104,9040.872000000008,High
12452.0,17,2,430.57,215.285,430.4571999999996,Mid-Low
12453.0,134,1,707.09,707.09,710.0901999999992,Mid-High
12454.0,56,1,3528.34,3528.34,3876.4278000000045,High
12455.0,73,6,2466.86,411.1433333333334,2468.2369999999955,High
12456.0,44,3,3181.04,1060.3466666666666,3191.431399999999,High
12457.0,66,7,2363.23,337.6042857142857,2367.281100000002,High
12458.0,71,2,947.4,473.7,948.4576000000009,Mid-High
12461.0,94,2,826.88,413.44,827.9669999999995,Mid-High
12462.0,19,2,1189.59,594.795,1181.3768,Mid-High
12463.0,53,4,1344.78,336.195,1347.2482999999986,Mid-High
12464.0,10,8,1212.05,151.50625,1200.5301000000015,Mid-High
12465.0,17,2,742.1899999999999,371.09499999999997,742.4204000000008,Mid-High
12468.0,188,2,729.5400000000001,364.77000000000004,730.4207000000008,Mid-High
12471.0,2,30,19788.65,659.6216666666667,19648.36629999998,High
12472.0,32,7,6572.11,938.8728571428571,6688.246099999995,High
12473.0,29,5,3928.0499999999997,785.6099999999999,3964.503599999994,High
